Time [s],Packet ID,MOSI,MISO
0.0056714000,0,0xFF,0x00
0.0056824500,0,0xFF,0x00
0.0056934500,0,0xFF,0x00
0.0057045000,0,0xFF,0x00
0.0057155000,0,0xFF,0x00
0.0057265500,0,0xFF,0x00
0.0057375500,0,0xFF,0x00
0.0057486000,0,0xFF,0x00
0.0057596000,0,0xFF,0x00
0.0057706500,0,0xFF,0x00
0.0057816500,0,0xFF,0x00
0.0057927000,0,0xFF,0x00
0.0058037000,0,0xFF,0x00
0.0058147000,0,0xFF,0x00
0.0058257500,0,0xFF,0x00
0.0058367500,0,0xFF,0x00
0.0058478000,0,0xFF,0x00
0.0058588500,0,0xFF,0x55
0.0058698500,0,0xFF,0xAA
0.0058810500,0,0xFF,0x1C
0.0058919000,0,0xFF,0xEC
